City,Lat,Lon,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
Preobrazheniye,42.9019,133.9064,6.98,84,100,17.49,RU,1613498080
Tamalín,21.35,-97.8,51.96,67,94,3.56,MX,1613498081
Tuktoyaktuk,69.4541,-133.0374,-20.2,76,90,10.36,CA,1613498081
Mahébourg,-20.4081,57.7,77.0,94,75,4.61,MU,1613498081
Huarmey,-10.0681,-78.1522,78.35,59,33,9.73,PE,1613498081
Cape Town,-33.9258,18.4232,77.0,44,0,17.27,ZA,1613497787
Novoagansk,61.9449,76.6625,-13.83,90,100,3.53,RU,1613498081
Barrow,71.2906,-156.7887,-13.0,77,90,10.36,US,1613498022
Dovers,12.8833,-61.1833,82.4,54,20,14.97,VC,1613498082
Nobres,-14.7203,-56.3275,79.16,84,100,6.69,BR,1613498082
São João da Barra,-21.6403,-41.0511,91.4,49,20,2.3,BR,1613498082
Necochea,-38.5473,-58.7368,66.0,89,100,5.01,AR,1613498082
Tasiilaq,65.6145,-37.6368,32.0,86,75,16.11,GL,1613498082
Asău,46.4333,26.4,17.01,62,30,2.55,RO,1613498082
Kiryat Gat,31.61,34.7642,54.0,100,64,3.0,IL,1613498082
Carnarvon,-24.8667,113.6333,77.0,100,75,5.75,AU,1613498082
Morón,-34.6534,-58.6198,81.0,63,53,3.0,AR,1613498083
Fortuna,40.5982,-124.1573,48.99,100,20,3.44,US,1613497838
Butaritari,3.0707,172.7902,81.05,77,0,17.27,KI,1613498083
Ozernovskiy,51.5,156.5167,27.93,93,87,47.31,RU,1613498083
Paamiut,61.994,-49.6678,14.31,87,100,19.73,GL,1613498083
Chui,-33.6971,-53.4616,74.8,82,58,8.23,UY,1613498084
Haines Junction,60.7522,-137.5108,-36.4,67,53,1.36,CA,1613498084
Hasaki,35.7333,140.8333,44.01,49,20,4.61,JP,1613498084
Mar del Plata,-38.0023,-57.5575,68.0,94,90,6.91,AR,1613498084
Leningradskiy,69.3833,178.4167,-17.48,87,89,4.23,RU,1613498084
Cayenne,4.9333,-52.3333,82.4,65,75,12.66,GF,1613498085
Esperance,-33.8667,121.9,71.6,78,34,3.44,AU,1613498085
Kieta,-6.2167,155.6333,80.38,80,88,6.69,PG,1613498085
Deputatsky,69.3,139.9,-25.26,88,72,0.18,RU,1613498085
Fort Morgan,40.2503,-103.8,15.8,62,1,16.11,US,1613498085
Zunyi,27.6867,106.9072,49.8,81,89,3.24,CN,1613498086
Port Shepstone,-30.7414,30.455,68.83,70,71,12.3,ZA,1613498086
Port Augusta,-32.5,137.7667,73.99,60,13,7.9,AU,1613498086
The Valley,18.217,-63.0578,84.2,57,20,20.71,AI,1613498086
Te Anau,-45.4167,167.7167,39.18,88,4,0.83,NZ,1613498086
Selfoss,63.9331,-20.9971,35.01,98,100,3.0,IS,1613498086
Ilebo,-4.3167,20.5833,76.08,87,98,2.51,CD,1613498086
Yellowknife,62.456,-114.3525,-25.6,75,90,5.75,CA,1613498087
Puerto Gaitán,4.3133,-72.0816,96.55,33,41,17.96,CO,1613498087
Kamenka,51.3223,42.7678,-6.61,91,13,2.55,RU,1613498087
Vágur,61.4732,-6.8119,46.35,89,99,31.88,FO,1613498087
Galveston,29.3669,-94.9669,26.01,69,55,1.01,US,1613498087
Dongsheng,39.8161,109.9776,21.85,80,0,9.01,CN,1613498087
Banda Aceh,5.5577,95.3222,78.44,80,28,10.09,ID,1613497909
Port Alfred,-33.5906,26.891,66.92,62,48,12.26,ZA,1613498088
Evensk,61.95,159.2333,9.01,80,95,15.03,RU,1613498088
Colares,38.7992,-9.4469,60.01,88,40,6.91,PT,1613498088
Thompson,55.7435,-97.8558,-5.8,77,40,2.3,CA,1613498088
São Francisco de Assis,-29.5503,-55.1311,82.98,46,12,11.86,BR,1613498089
Road Town,18.4167,-64.6167,82.4,57,20,14.97,VG,1613498089
Ust-Maya,60.4167,134.5333,-29.09,84,43,2.26,RU,1613498089
Santa Rosa,14.3122,121.1114,77.0,78,20,4.61,PH,1613497880
Krasnyy Yar,46.5331,48.3456,17.6,79,90,13.42,RU,1613498089
Sur,22.5667,59.5289,70.45,73,0,10.02,OM,1613498005
Puerto Ayacucho,5.6639,-67.6236,96.69,34,26,7.56,VE,1613498089
Lagos,6.5833,3.75,87.8,70,75,14.97,NG,1613497861
Verkh-Usugli,52.7,115.1667,-18.4,83,0,2.19,RU,1613498090
Winnemucca,40.973,-117.7357,35.6,60,90,4.61,US,1613498090
Nikolskoye,59.7035,30.7861,14.0,73,75,13.42,RU,1613498090
Kloulklubed,7.0419,134.2556,78.8,94,90,11.5,PW,1613498090
Kuvshinovo,57.0295,34.1725,17.73,97,100,7.09,RU,1613498090
Port Lincoln,-34.7333,135.8667,72.75,56,55,8.39,AU,1613498090
Kalmunai,7.4167,81.8167,75.61,81,55,5.14,LK,1613498090
Ransang,8.9603,117.5828,76.89,85,26,6.73,PH,1613498091
Esqueda,30.7167,-109.5833,52.5,43,86,23.51,MX,1613498091
Egvekinot,66.3167,-179.1667,-14.8,87,7,13.0,RU,1613498091
Tiznit Province,29.5833,-9.5,62.73,40,0,5.37,MA,1613498091
Kangaatsiaq,68.3065,-53.4641,-2.25,87,41,7.47,GL,1613498091
Salalah,17.0151,54.0924,75.2,73,0,1.14,OM,1613498091
Takaka,-40.85,172.8,55.99,62,0,5.99,NZ,1613498091
Yerköy,39.6381,34.4672,22.14,90,100,11.92,TR,1613498092
San Cristobal,7.7669,-72.225,82.4,69,40,9.22,VE,1613498092
Samarai,-10.6167,150.6667,79.14,87,100,14.32,PG,1613498092
Riyadh,24.6877,46.7219,77.0,13,0,11.5,SA,1613498092
Poum,-20.2333,164.0167,80.37,84,8,9.91,NC,1613498092
Raudeberg,61.9875,5.1352,42.01,75,100,9.37,NO,1613498092
George Town,5.4112,100.3354,80.6,74,20,4.61,MY,1613497793
Lavrentiya,65.5833,-171.0,-17.46,83,0,10.89,RU,1613498093
Touros,-5.1989,-35.4608,86.0,66,40,14.97,BR,1613498093
Manicoré,-5.8092,-61.3003,91.69,51,67,4.7,BR,1613498093
Bowen,-20.0167,148.2333,77.0,83,40,11.5,AU,1613498093
Douentza,14.9951,-2.9517,91.9,11,6,6.69,ML,1613498093
Lodwar,3.1191,35.5973,89.04,31,72,14.47,KE,1613498093
Suez,29.9737,32.5263,50.29,61,55,21.39,EG,1613498094
Scarborough,54.2797,-0.4044,48.0,83,87,3.0,GB,1613497897
Parambu,-6.2111,-40.6944,72.12,92,100,5.55,BR,1613498094
Donduşeni,48.2427,27.6101,11.39,95,3,5.66,MD,1613498094
Sayyan,15.1718,44.3244,61.36,31,24,2.95,YE,1613498094
Bose,45.4612,8.0137,42.01,64,82,1.01,IT,1613498094
Lata,40.1629,-8.3327,59.0,91,100,3.09,PT,1613498094
Saint-Philippe,-21.3585,55.7679,82.4,74,90,3.44,RE,1613498095
Muyezerskiy,63.9333,31.65,-13.4,89,92,6.33,RU,1613498095
Sosnovo-Ozerskoye,52.5249,111.5418,-20.63,86,52,2.55,RU,1613498095
Tibati,6.4667,12.6333,79.7,17,53,7.67,CM,1613498095
Broome,42.2506,-75.833,42.01,81,90,13.8,US,1613497825
Blagoyevo,63.3667,47.9167,-11.25,89,100,4.0,RU,1613498095
Maketu,-37.7667,176.45,61.0,62,99,8.01,NZ,1613498095
Lagoa,39.05,-27.9833,58.03,75,100,24.54,PT,1613498095
Marystown,47.1666,-55.1483,26.49,91,99,7.14,CA,1613498095
Jinka,5.65,36.65,74.32,46,97,2.33,ET,1613498096
Opuwo,-18.0607,13.84,80.04,34,59,13.89,NA,1613498096
Kavieng,-2.5744,150.7967,82.71,78,68,11.01,PG,1613498096
Umm Hājar,13.2954,19.6966,77.23,17,0,15.64,TD,1613498096
Sinnamary,5.3833,-52.95,80.51,64,81,11.79,GF,1613498096
Kyaikkami,16.08,97.5675,74.97,74,6,4.47,MM,1613498096
Khatanga,71.9667,102.5,-22.31,81,46,9.44,RU,1613498097
Bumba,2.1833,22.4667,78.39,78,92,3.65,CD,1613498097
Khani,41.9563,42.9566,39.2,93,90,6.91,GE,1613498097
Bethel,41.3712,-73.414,46.99,87,90,5.75,US,1613498097
Ponta do Sol,32.6667,-17.1,69.8,37,20,12.66,PT,1613498097
Padang,-0.9492,100.3543,77.0,94,20,2.3,ID,1613498045
Saint Anthony,45.0205,-93.218,7.0,55,75,1.34,US,1613498098
Ketchikan,55.3422,-131.6461,33.8,80,75,6.91,US,1613498098
Channel-Port aux Basques,47.5702,-59.1367,24.35,97,100,3.27,CA,1613498098
Sola,-13.8833,167.55,82.08,82,68,11.32,VU,1613498098
Sulangan,11.1373,123.7228,79.97,82,99,19.53,PH,1613498099
Nanortalik,60.1432,-45.2371,18.41,87,100,13.58,GL,1613498099
Bundaberg,-24.85,152.35,71.01,83,75,6.91,AU,1613498099
Talnakh,69.4865,88.3972,-17.97,81,94,1.05,RU,1613498099
Porto-Novo,6.4965,2.6036,87.8,74,40,11.5,BJ,1613497885
Brae,60.3964,-1.353,46.4,81,40,23.02,GB,1613498099
Mayo,38.8876,-76.5119,44.01,93,90,4.61,US,1613498099
Norman Wells,65.282,-126.8329,-20.2,76,75,2.3,CA,1613498100
Buenos Aires,-34.6132,-58.3772,79.0,60,75,8.05,AR,1613497809
Sundumbili,-29.1337,31.3975,68.0,77,75,10.36,ZA,1613498100
Mapastepec,15.4333,-92.9,92.05,28,0,7.74,MX,1613498100
Gayéri,12.6497,0.4931,91.72,11,8,9.48,BF,1613498100
Sindor,62.8629,51.8905,-14.03,89,100,3.33,RU,1613498100
Clyde River,70.4692,-68.5914,-14.8,84,75,3.44,CA,1613498100
Cidreira,-30.1811,-50.2056,80.29,69,37,8.57,BR,1613498100
Safi,32.2994,-9.2372,64.09,70,74,11.41,MA,1613498101
Iqaluit,63.7506,-68.5145,-0.4,65,75,11.5,CA,1613498101
Laas,46.6166,10.7002,39.99,81,40,4.61,IT,1613498101
Coyhaique,-45.5752,-72.0662,64.4,39,20,11.5,CL,1613498101
Port Hedland,-20.3167,118.5667,82.4,83,76,3.44,AU,1613498101
Lompoc,34.6391,-120.4579,55.99,66,1,12.66,US,1613498101
Sioux Lookout,50.1001,-91.917,-4.0,54,20,5.75,CA,1613498102
Port Elizabeth,-33.918,25.5701,68.0,60,40,10.36,ZA,1613498102
Talaya,61.3833,152.75,-22.4,84,100,3.8,RU,1613498102
Marawi,7.9986,124.2928,73.99,95,94,3.0,PH,1613498102
Maţāy,28.419,30.7792,47.89,60,27,14.41,EG,1613498102
Hithadhoo,-0.6,73.0833,81.95,71,79,4.97,MV,1613498102
Bantou,26.2151,117.4893,56.01,88,100,2.04,CN,1613498102
Narsaq,60.9167,-46.05,21.2,49,75,6.91,GL,1613498103
Mujiayingzi,42.1167,118.7833,-0.31,67,0,11.48,CN,1613498103
Antalaha,-14.9003,50.2788,80.24,84,100,4.41,MG,1613498104
Kirakira,-10.4544,161.9205,79.79,79,81,2.48,SB,1613498105
Cabedelo,-6.9811,-34.8339,87.8,66,40,10.36,BR,1613498105
Mossamedes,-15.1961,12.1522,75.58,78,67,14.79,AO,1613498105
Berbera,10.4396,45.0143,76.17,74,47,7.38,SO,1613498105
Fairlie,55.756,-4.8556,45.0,89,47,5.01,GB,1613498105
Bonavista,48.6499,-53.1147,27.0,58,99,6.91,CA,1613498106
Gonder,12.6,37.4667,69.35,30,89,6.35,ET,1613498106
Port Blair,11.6667,92.75,78.08,74,53,8.7,IN,1613498107
Saint George,37.1041,-113.5841,53.01,29,1,17.27,US,1613497852
Alofi,-19.0595,-169.9187,69.8,100,92,1.14,NU,1613498107
Igarka,67.4667,86.5833,-10.21,89,100,7.47,RU,1613498107
Faanui,-16.4833,-151.75,81.3,68,31,8.39,PF,1613498107
Ol'ga,43.7444,135.2892,7.95,80,100,21.3,RU,1613498108
Hong Kong,22.2855,114.1577,68.0,73,0,4.74,HK,1613497937
Khovd,48.0056,91.6419,14.18,83,35,1.52,MN,1613498108
Vila Velha,-20.3297,-40.2925,88.0,70,20,16.11,BR,1613498027
Mbala,-8.8402,31.3659,62.44,92,71,1.74,ZM,1613498108
Nisibis,37.0778,41.2178,55.58,65,71,10.38,TR,1613498108
Nadvoitsy,63.8667,34.3167,-13.45,89,88,7.18,RU,1613498108
Zyryanka,65.75,150.85,-17.14,88,100,6.69,RU,1613498108
Paramonga,-10.6667,-77.8333,78.42,59,23,9.8,PE,1613498109
Casper,42.8666,-106.3131,30.0,59,90,14.97,US,1613498109
Manhattan,40.7834,-73.9662,48.2,76,20,3.44,US,1613497820
Pangody,65.85,74.4859,-20.74,87,93,6.17,RU,1613498109
Isangel,-19.55,169.2667,81.01,82,100,4.94,VU,1613498109
Longyearbyen,78.2186,15.6401,32.0,86,75,10.36,SJ,1613498110
Port-Cartier,50.0334,-66.8654,17.01,52,100,5.75,CA,1613498110
Ballina,-28.8667,153.5667,68.0,94,75,13.8,AU,1613498110
Tazovsky,67.4667,78.7,-17.23,89,100,8.28,RU,1613498110
Kaa-Khem,51.6833,94.7333,8.89,88,86,1.86,RU,1613498110
Xunchang,28.4543,104.715,54.84,64,62,1.03,CN,1613498110
Luanda,-8.8368,13.2343,82.4,74,40,9.22,AO,1613498110
Dezful,32.3811,48.4058,69.67,28,17,9.28,IR,1613498111
Powell,40.1578,-83.0752,19.99,73,40,10.36,US,1613498111
Soma,39.1855,27.6094,33.01,74,75,16.11,TR,1613498111
Vilhena,-12.7406,-60.1458,82.4,69,75,14.97,BR,1613498111
Jumla,29.2747,82.1838,34.61,80,37,2.59,NP,1613498111
Cervo,43.6702,-7.4101,57.0,66,14,3.0,ES,1613498111
Havøysund,70.9963,24.6622,23.0,80,0,20.71,NO,1613498111
Berdigestyakh,62.0989,126.6992,-29.24,84,81,2.71,RU,1613498112
Beian,63.6559,9.5683,30.2,64,0,34.52,NO,1613498112
Trujillo,-8.116,-79.03,73.4,78,0,9.22,PE,1613498112
Inhambane,-23.865,35.3833,78.8,94,75,12.66,MZ,1613498112
Port Macquarie,-31.4333,152.9167,66.0,99,58,11.79,AU,1613498112
Nemuro,43.3236,145.575,26.1,88,96,34.94,JP,1613498112
Calama,-22.4667,-68.9333,69.8,28,0,17.27,CL,1613498113
Sept-Îles,50.2001,-66.3821,17.01,52,100,5.75,CA,1613498113
Fiumicino,41.7675,12.2291,50.0,71,75,3.44,IT,1613498113
Quimper,48.0,-4.1,51.8,87,90,12.66,FR,1613498060
Imbituba,-28.24,-48.6703,78.8,78,75,11.5,BR,1613498113
Bhuj,23.2667,69.6667,66.61,73,0,9.26,IN,1613498114
Bandarbeyla,9.4942,50.8122,76.37,71,0,10.6,SO,1613497844
Puerto Escondido,15.85,-97.0667,80.6,78,1,9.22,MX,1613498114
Srednekolymsk,67.45,153.6833,-15.0,89,99,3.78,RU,1613498114
Tulun,54.5611,100.5792,10.98,95,100,5.77,RU,1613498114
Shitkino,56.3703,98.3543,29.5,98,100,5.79,RU,1613498114
Havre-St-Pierre,50.2334,-63.5986,10.4,56,90,5.75,CA,1613498114
Motala,58.5371,15.0365,30.2,80,90,13.8,SE,1613498115
Lüderitz,-26.6481,15.1594,68.36,61,0,9.44,NA,1613498008
Pacific Grove,36.6177,-121.9166,54.0,76,20,8.05,US,1613497865
Mogadishu,2.0371,45.3438,77.32,82,0,20.38,SO,1613498115
Halifax,44.6453,-63.5724,32.0,93,90,14.97,CA,1613498086
Vryburg,-26.9566,24.7284,76.62,42,65,2.68,ZA,1613498116
Pimenteiras,-6.2453,-41.4192,77.74,88,86,1.77,BR,1613498116
Tomatlán,19.9333,-105.25,78.93,43,1,6.4,MX,1613498116
Turku,60.4515,22.2687,17.6,79,0,5.75,FI,1613498096
Faya,18.3851,42.4509,64.4,55,0,4.61,SA,1613498116
Lebu,-37.6167,-73.65,60.26,67,24,13.31,CL,1613498116
Cap Malheureux,-19.9842,57.6142,77.0,86,99,3.0,MU,1613498117
Port-Gentil,-0.7193,8.7815,84.2,79,75,9.22,GA,1613498117
Hobyo,5.3505,48.5268,78.51,76,3,13.13,SO,1613498117
Barra Patuca,15.8,-84.2833,83.7,66,8,9.01,HN,1613498117
Brownsville,25.9018,-97.4975,35.6,80,90,9.22,US,1613498008
Changping,40.2186,116.2197,21.0,27,0,8.95,CN,1613498117
Hofn,64.2539,-15.2082,41.13,89,100,14.0,IS,1613498117
Kosh-Agach,50.0,88.6667,5.5,74,74,1.25,RU,1613498118
Dimāpur,25.9,93.7333,61.56,51,0,1.43,IN,1613498118
Taoudenni,22.6783,-3.9836,76.41,18,10,18.57,ML,1613498118
Nouadhibou,20.931,-17.0347,82.4,23,32,11.5,MR,1613498118
Naze,28.3667,129.4833,54.18,84,43,15.82,JP,1613498118
Palmer,42.1584,-72.3287,41.0,100,90,3.44,US,1613498118
Lakes Entrance,-37.8811,147.981,54.0,95,53,5.28,AU,1613498118
Waitati,-45.75,170.5667,46.99,82,0,8.01,NZ,1613498118
Nishihara,26.1842,127.7558,62.6,63,75,3.44,JP,1613498119
Nchelenge,-9.3451,28.734,74.7,80,85,7.92,ZM,1613498119
Boyolangu,-8.1181,111.8935,77.11,86,100,0.67,ID,1613498119
Villa Rica,33.7321,-84.9191,24.8,93,90,9.22,US,1613498119
Pisco,-13.7,-76.2167,75.99,73,0,11.5,PE,1613498119
Nelson Bay,-32.7167,152.15,69.8,83,75,8.05,AU,1613498119
Tucuruí,-3.7661,-49.6725,83.41,74,99,3.2,BR,1613498119
Port Moresby,-9.4431,147.1797,75.2,94,20,10.36,PG,1613498119
Berlevåg,70.8578,29.0864,19.4,79,0,8.05,NO,1613498120
Pitimbu,-7.4706,-34.8086,87.8,66,40,10.36,BR,1613498120
Itoman,26.1247,127.6694,62.6,59,75,4.61,JP,1613498120
Mendi,-6.1761,143.6513,55.85,99,100,1.43,PG,1613498120
Stawell,-37.05,142.7667,68.77,53,62,3.94,AU,1613498120
Biak,-0.9131,122.8766,77.36,78,83,2.73,ID,1613498120
Waipawa,-41.4122,175.5153,55.4,76,90,21.85,NZ,1613498121
Alim,9.5649,122.4876,77.74,81,100,7.0,PH,1613498121
Svetlaya,46.5389,138.3297,22.14,91,100,13.04,RU,1613498121
Ostrovnoy,68.0531,39.5131,1.72,90,99,4.94,RU,1613498121
Moose Factory,51.2585,-80.6094,-4.0,71,1,0.78,CA,1613498121
Sørland,67.667,12.6934,33.8,64,0,9.22,NO,1613498121
Dumas,35.8656,-101.9732,17.6,79,1,16.11,US,1613498121
Tamboril,19.4854,-70.611,86.0,48,40,12.66,DO,1613498121
Villaviciosa,43.4813,-5.4357,57.2,67,20,2.3,ES,1613498121
Monselice,45.2424,11.749,42.01,63,59,1.99,IT,1613498122
Dano,11.15,-3.0667,96.46,19,44,5.26,BF,1613498122
San-Pédro,4.7485,-6.6363,82.04,78,70,6.8,CI,1613498122
Malatya Province,38.5,38.0,42.8,93,90,2.3,TR,1613497922
Amahai,-3.3333,128.9167,79.09,79,100,5.44,ID,1613498122
Talcahuano,-36.7167,-73.1167,62.6,77,90,11.5,CL,1613498122
Kismayo,-0.3582,42.5454,77.16,82,10,18.07,SO,1613498123
Jalu,29.0331,21.5482,50.18,47,35,15.43,LY,1613498123
Yudong,29.385,106.5194,50.0,93,36,4.47,CN,1613498123
Dalvik,65.9702,-18.5286,35.6,87,90,1.63,IS,1613498123
Banes,20.9625,-75.7186,84.2,54,40,2.3,CU,1613498123
Azul,-36.777,-59.8585,75.0,57,86,5.99,AR,1613498123
Pevek,69.7008,170.3133,-22.38,88,3,3.36,RU,1613498124
Cape Girardeau,37.3834,-89.7168,6.8,66,1,5.75,US,1613498124
Kahului,20.8947,-156.47,71.01,82,1,5.75,US,1613498071
Elko,41.0002,-115.5012,33.01,77,85,15.01,US,1613498124
Kota Belud,6.351,116.4305,78.8,83,20,5.75,MY,1613498124
Jódar,37.8406,-3.3526,51.76,54,93,2.33,ES,1613498124
Erzurum Province,40.0,41.5,41.0,48,75,10.36,TR,1613498124
North Bend,43.4065,-124.2243,46.99,93,75,5.75,US,1613498125
Plettenberg Bay,-34.0527,23.3716,65.35,74,19,16.37,ZA,1613498126
Bereket,39.2446,55.5154,58.95,42,7,8.9,TM,1613498126
Dunedin,-45.8742,170.5036,46.99,80,0,4.9,NZ,1613497917
Lake Havasu City,34.4839,-114.3224,60.01,33,1,5.75,US,1613498126
Lae,-6.7221,146.9847,78.28,81,100,7.49,PG,1613498126
Departamento de Maldonado,-34.6667,-54.9167,73.4,83,75,10.36,UY,1613498126
Srikakulam,18.3,83.9,72.45,83,0,3.87,IN,1613498126
Mabaruma,8.2,-59.7833,83.73,56,97,9.71,GY,1613498127
Neiafu,-18.65,-173.9833,71.6,94,20,13.18,TO,1613498127
Constitución,-35.3333,-72.4167,62.74,66,54,7.9,CL,1613498019
Mlonggo,-6.5333,110.7,79.09,83,88,7.56,ID,1613498127
Ubari,26.5921,12.7805,45.23,53,0,5.59,LY,1613498127
San Andrés,12.5847,-81.7006,86.0,70,20,17.27,CO,1613498127
Saldanha,-33.0117,17.9442,75.2,43,0,14.97,ZA,1613498127
Gizo Government Station,-8.103,156.8419,82.35,76,89,6.46,SB,1613498127
Kutum,14.2,24.6667,69.53,21,12,23.87,SD,1613498128
Chengzhong,30.95,113.55,46.4,66,0,4.83,CN,1613498128
Gargždai,55.7128,21.4033,28.4,64,0,6.91,LT,1613498128
Mīzan Teferī,6.9833,35.5833,72.0,46,75,2.57,ET,1613498128
High Level,58.5169,-117.136,-16.6,83,20,1.39,CA,1613498128
Bani Walid,31.7566,13.9942,48.4,52,55,6.78,LY,1613498128
Fuyu,45.1833,124.8167,-2.33,85,78,13.67,CN,1613498129
Tías,28.9611,-13.645,68.0,45,0,12.66,ES,1613498129
