,City,Lat,Lon,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
26,Vágur,61.4732,-6.8119,36.61,79,100,21.65,FO,1612681564
27,Ushuaia,-54.8,-68.3,44.6,81,75,8.05,AR,1612681448
28,Port-Gentil,-0.7193,8.7815,75.2,100,75,2.3,GA,1612681564
29,Abu Samrah,35.3029,37.1841,55.98,68,0,8.39,SY,1612681564
30,Marawi,7.9986,124.2928,81.0,86,100,5.01,PH,1612681463
31,Cidreira,-30.1811,-50.2056,66.25,78,0,10.69,BR,1612681231
32,Aklavik,68.2191,-135.0107,-11.2,84,100,8.05,CA,1612681233
33,Ribeira Grande,38.5167,-28.7,61.05,89,100,20.02,PT,1612681255
34,Kamenka,51.3223,42.7678,-3.48,90,59,13.27,RU,1612681565
35,Ancud,-41.8697,-73.8203,54.0,71,0,4.61,CL,1612681248
36,Souillac,-20.5167,57.5167,86.0,66,40,12.66,MU,1612681473
37,Hualmay,-11.0964,-77.6139,71.04,74,100,5.99,PE,1612681565
38,Forsytheganj,52.6333,29.7333,0.86,92,0,4.61,BY,1612681565
39,Esperance,-33.8667,121.9,68.0,68,90,20.71,AU,1612681190
40,Gossau,47.4169,9.2513,41.0,100,90,9.22,CH,1612681565
41,Kajaani,64.2273,27.7285,15.8,92,90,6.91,FI,1612681565
42,Ilulissat,69.2167,-51.1,28.4,43,0,27.63,GL,1612681450
43,Kununurra,-15.7667,128.7333,89.6,70,75,5.75,AU,1612681251
44,Vila Velha,-20.3297,-40.2925,71.6,88,90,6.91,BR,1612681268
45,Batagay-Alyta,67.8006,130.4114,-31.05,83,69,2.01,RU,1612681290
46,Chokurdakh,70.6333,147.9167,-26.12,85,0,5.37,RU,1612681385
47,Nhulunbuy,-12.2333,136.7667,82.4,83,75,16.11,AU,1612681566
48,Erenhot,43.6475,111.9767,19.22,92,0,9.46,CN,1612681193
49,Hermanus,-34.4187,19.2345,66.99,88,95,10.96,ZA,1612681376
50,Bilibino,68.0546,166.4372,-4.65,75,0,3.76,RU,1612681294
51,Busselton,-33.65,115.3333,63.0,92,100,5.01,AU,1612681446
52,Saint Paul Harbor,57.79,-152.4072,33.8,51,1,5.75,US,1612681197
53,Clyde River,70.4692,-68.5914,-7.6,92,90,2.3,CA,1612681252
54,Mahon,39.8885,4.2658,51.8,93,20,4.61,ES,1612681567
55,Havre-St-Pierre,50.2334,-63.5986,26.6,86,90,35.68,CA,1612681567
56,Salme,28.0369,85.0942,60.8,33,20,4.61,NP,1612681567
57,Hithadhoo,-0.6,73.0833,81.99,73,44,11.14,MV,1612681199
58,Husavik,66.0449,-17.3389,33.8,69,90,3.44,IS,1612681466
59,Batagay,67.6333,134.6333,-27.0,83,28,3.04,RU,1612681568
60,Pascagoula,30.3658,-88.5561,50.0,93,90,4.61,US,1612681345
61,Severo-Kuril'sk,50.6789,156.125,22.28,92,100,20.67,RU,1612681465
62,Kaitangata,-46.2817,169.8464,64.0,78,0,5.01,NZ,1612681194
63,Dingle,10.9995,122.6711,82.4,80,28,14.2,PH,1612681216
64,Jamestown,42.097,-79.2353,17.6,53,1,5.75,US,1612681568
65,Tiznit Province,29.5833,-9.5,46.76,91,51,10.04,MA,1612681382
66,Jati,24.3539,68.2671,81.64,15,0,8.59,PK,1612681569
67,Ketchikan,55.3422,-131.6461,33.8,74,90,13.8,US,1612681271
68,Saint-Philippe,-21.3585,55.7679,87.8,62,0,10.36,RE,1612681377
69,Sola,-13.8833,167.55,86.0,79,75,8.14,VU,1612681270
70,Devgarh,25.5333,73.9,72.39,21,0,6.78,IN,1612681569
71,Mehamn,71.0357,27.8492,24.66,94,100,21.59,NO,1612681277
72,Sitka,57.0531,-135.33,30.2,64,90,4.5,US,1612681569
73,Tevriz,57.509,72.4042,19.63,95,100,15.77,RU,1612681569
74,Chui,-33.6971,-53.4616,63.68,88,0,5.03,UY,1612681253
75,Lompoc,34.6391,-120.4579,55.0,93,90,4.61,US,1612681030
76,Castro,-24.7911,-50.0119,57.87,89,95,7.65,BR,1612681098
77,Panzhihua,26.5851,101.7128,64.0,29,89,1.01,CN,1612681570
78,Bethel,41.3712,-73.414,28.0,79,1,2.3,US,1612681231
79,Wajir,1.7471,40.0573,82.4,57,0,2.3,KE,1612681570
80,Manggar,-2.8833,108.2667,85.57,66,100,15.99,ID,1612681480
81,Broome,42.2506,-75.833,17.6,49,1,5.75,US,1612681466
82,Muros,42.7762,-9.0603,39.99,95,100,8.99,ES,1612681561
83,Iligan,8.2282,124.2412,81.0,86,97,5.01,PH,1612681571
84,Bengkulu,-3.8004,102.2655,86.86,60,100,12.5,ID,1612681266
85,New Norfolk,-42.7826,147.0587,66.0,47,3,4.0,AU,1612681198
86,Fairbanks,64.8378,-147.7164,-4.0,77,90,3.24,US,1612680911
87,Kortkeros,61.8106,51.5806,-14.8,70,40,11.18,RU,1612681571
88,Kungurtug,50.5994,97.5228,24.13,89,0,1.41,RU,1612681571
89,Bandarbeyla,9.4942,50.8122,79.88,62,26,14.58,SO,1612681237
90,Puerto Ayora,-0.7393,-90.3518,77.0,95,46,5.59,EC,1612681201
91,Kiunga,-6.1219,141.2906,90.93,56,80,6.46,PG,1612681572
92,Tiarei,-17.5333,-149.3333,75.2,73,75,4.61,PF,1612681233
93,Tasiilaq,65.6145,-37.6368,32.0,59,40,17.27,GL,1612681193
94,Saint George,37.1041,-113.5841,43.0,38,1,3.44,US,1612681241
95,Port Alfred,-33.5906,26.891,73.0,80,29,7.0,ZA,1612681209
96,George Town,5.4112,100.3354,95.0,43,20,6.91,MY,1612681138
97,Barrow,71.2906,-156.7887,-5.8,77,90,12.66,US,1612681450
98,Kramat,-8.1311,113.4499,85.35,70,65,3.94,ID,1612681573
99,Lüderitz,-26.6481,15.1594,74.32,47,0,24.85,NA,1612681224
100,Longyearbyen,78.2186,15.6401,17.6,73,75,18.41,SJ,1612681240
101,Pevek,69.7008,170.3133,-9.33,86,0,4.12,RU,1612681454
102,Yanam,16.7333,82.2167,84.2,51,100,9.22,IN,1612681573
103,Sol'-Iletsk,51.1631,54.9918,12.36,95,100,15.77,RU,1612681573
104,Cape Town,-33.9258,18.4232,71.01,73,75,18.41,ZA,1612680917
105,Gisborne,-38.6533,178.0042,64.99,72,81,4.0,NZ,1612681574
106,Tiksi,71.6872,128.8694,-25.74,85,99,6.82,RU,1612681228
107,Green Valley,31.8543,-110.9937,46.99,39,1,6.91,US,1612681574
108,Terryville,40.909,-73.0651,33.01,86,1,5.68,US,1612681574
109,Bathsheba,13.2167,-59.5167,77.0,69,40,19.57,BB,1612681233
110,Qaanaaq,77.484,-69.3632,10.54,88,100,0.56,GL,1612681026
111,Lamu,-2.2717,40.902,82.4,69,1,4.61,KE,1612681575
112,Banda Aceh,5.5577,95.3222,87.26,61,43,10.29,ID,1612681575
113,Malye Derbety,47.9547,44.6808,22.5,82,100,15.23,RU,1612681575
114,Saint-Augustin,51.226,-58.6502,24.75,96,99,21.77,CA,1612681575
115,Saskylakh,71.9167,114.0833,-40.59,78,20,8.77,RU,1612681488
116,Lebu,-37.6167,-73.65,57.7,92,95,4.38,CL,1612681458
117,Upernavik,72.7868,-56.1549,20.52,78,100,6.96,GL,1612681192
118,Lavrentiya,65.5833,-171.0,-11.97,78,0,1.48,RU,1612681195
119,Bambous Virieux,-20.3428,57.7575,86.0,66,40,12.66,MU,1612681233
120,Arvika,59.6553,12.5852,17.6,86,75,8.05,SE,1612681576
121,Kiryat Gat,31.61,34.7642,60.01,100,0,1.32,IL,1612681447
122,Kavaratti,10.5669,72.642,81.73,63,0,8.25,IN,1612681576
123,Manono,-7.3,27.4167,76.77,86,100,0.96,CD,1612681576
124,Hong Kong,22.2855,114.1577,77.0,47,20,6.91,HK,1612681012
125,Dikson,73.5069,80.5464,-27.27,87,91,10.29,RU,1612681227
126,Leh,34.1667,77.5833,20.7,62,0,1.54,IN,1612681576
127,Mareeba,-17.0,145.4333,86.0,79,75,4.61,AU,1612681576
128,Mayor Pablo Lagerenza,-19.9309,-60.7718,66.33,61,19,3.36,PY,1612681577
129,Hilo,19.7297,-155.09,69.8,68,20,4.61,US,1612681047
130,Port Hardy,50.6996,-127.4199,41.0,93,75,9.22,CA,1612681577
131,Geraldton,-28.7667,114.6,75.2,69,75,21.85,AU,1612681253
132,Kavieng,-2.5744,150.7967,84.96,70,86,7.23,PG,1612681240
133,Idanre,7.1127,5.1159,77.2,82,100,2.51,NG,1612681577
134,Almaznyy,48.0448,40.045,19.4,68,0,8.95,RU,1612681242
135,Sirte,31.2089,16.5887,65.37,33,100,13.89,LY,1612681488
136,Colares,38.7992,-9.4469,53.01,75,92,18.01,PT,1612681577
137,Gazli,40.1333,63.45,54.57,46,100,4.23,UZ,1612681577
138,Praia da Vitória,38.7333,-27.0667,60.8,94,75,13.58,PT,1612681578
139,Grand Gaube,-20.0064,57.6608,84.0,72,37,7.0,MU,1612681255
140,Pinawa,50.1489,-95.8811,-30.66,85,57,6.24,CA,1612681578
141,Tuktoyaktuk,69.4541,-133.0374,-16.6,76,90,24.16,CA,1612681377
142,Orocué,4.7912,-71.3354,78.4,68,100,4.05,CO,1612681578
143,Yerbogachën,61.2767,108.0108,9.27,95,100,10.11,RU,1612681279
144,Tynda,55.1667,124.7167,-5.53,86,72,3.22,RU,1612681579
145,Torbay,47.6666,-52.7314,36.0,93,90,19.57,CA,1612681224
146,Necochea,-38.5473,-58.7368,57.99,87,100,7.81,AR,1612681146
147,Grenville,12.1167,-61.6167,78.8,73,20,14.97,GD,1612681579
148,Valparaíso,-33.0393,-71.6273,60.8,82,90,1.14,CL,1612681579
149,Hasaki,35.7333,140.8333,61.0,29,20,6.91,JP,1612681192
150,Ghātāl,22.6667,87.7167,82.22,26,0,10.74,IN,1612681580
151,Daru,-9.0763,143.2092,87.67,72,100,7.65,PG,1612681580
152,Corrente,-3.7367,-43.3394,71.85,99,33,1.9,BR,1612681580
153,Taoudenni,22.6783,-3.9836,52.88,46,14,7.34,ML,1612681290
154,Arraial do Cabo,-22.9661,-42.0278,71.8,77,100,6.31,BR,1612681229
155,Klaksvík,62.2266,-6.589,35.6,69,75,12.66,FO,1612681250
156,Nālūt,30.3333,10.85,60.4,30,100,9.17,LY,1612681580
157,Kloulklubed,7.0419,134.2556,82.4,83,90,11.5,PW,1612681314
158,Korla,41.7597,86.1469,40.89,56,100,9.28,CN,1612681196
159,Dukat,62.55,155.55,-3.53,89,100,10.98,RU,1612681581
160,Turukhansk,65.8167,87.9833,-3.42,88,100,9.42,RU,1612681581
161,Trelew,-43.249,-65.3051,57.79,64,100,11.56,AR,1612681581
162,Yellowknife,62.456,-114.3525,-44.0,66,1,3.44,CA,1612681194
163,Niono,14.2526,-5.993,67.03,31,100,11.21,ML,1612681581
164,Marzuq,14.4,46.4667,70.68,36,83,6.98,YE,1612681581
165,Riyadh,24.6877,46.7219,60.8,44,0,12.66,SA,1612681581
166,Koróni,36.8,21.95,55.99,100,40,3.15,GR,1612681582
167,Umluj,25.0213,37.2685,71.04,42,0,15.46,SA,1612681582
168,Dakar,14.6937,-17.4441,62.6,88,14,11.5,SN,1612681582
169,Avarua,-21.2078,-159.775,78.8,89,7,3.44,CK,1612681258
170,Coyhaique,-45.5752,-72.0662,48.7,80,8,4.56,CL,1612681253
171,Chapais,49.7834,-74.8492,5.0,85,75,4.61,CA,1612681582
172,Tcholliré,8.4022,14.1698,75.24,20,34,1.01,CM,1612681582
173,Kyaikkami,16.08,97.5675,83.64,55,0,11.1,MM,1612681582
174,Yambio,4.5721,28.3955,74.91,19,8,8.81,SS,1612681583
175,Bud,39.447,-86.1758,16.0,85,100,10.16,US,1612681583
176,Ahipara,-35.1667,173.1667,66.81,72,74,2.73,NZ,1612681196
177,Bibiani,6.4635,-2.3194,73.53,98,100,1.99,GH,1612681583
178,Krasnyy Klyuch,55.3863,56.6529,-1.43,90,100,15.1,RU,1612681583
179,Beringovskiy,63.05,179.3167,-9.08,90,96,11.77,RU,1612681267
180,Fortuna,40.5982,-124.1573,48.0,100,90,5.75,US,1612681264
181,Qandala,11.472,49.8728,78.37,66,23,4.72,SO,1612681583
182,Kapaa,22.0752,-159.319,64.4,72,20,6.91,US,1612681448
183,Sīrjān,29.452,55.6814,56.82,35,0,13.15,IR,1612681584
184,Sorong,-0.8833,131.25,83.23,77,100,5.26,ID,1612681584
185,Salalah,17.0151,54.0924,77.0,61,75,6.91,OM,1612681277
186,Kuopio,62.8924,27.677,15.8,86,90,12.66,FI,1612681584
187,Suruç,36.9761,38.425,50.0,62,0,4.61,TR,1612681584
188,Buin,-33.7333,-70.75,63.0,82,90,1.23,CL,1612681584
189,Ilhabela,-23.7781,-45.3581,71.4,82,78,2.95,BR,1612681584
190,Srednekolymsk,67.45,153.6833,-10.46,84,100,5.55,RU,1612681294
191,Yumen,40.2833,97.2,43.9,39,100,2.35,CN,1612681579
192,Puerto Quijarro,-17.7833,-57.7667,68.43,71,43,3.0,BO,1612681585
193,Lorengau,-2.0226,147.2712,84.16,77,85,6.93,PG,1612681248
194,Katsuura,35.1333,140.3,60.8,47,0,11.5,JP,1612681230
195,Solnechnyy,50.7214,136.6319,2.91,90,100,8.57,RU,1612681445
196,San Quintín,30.4833,-115.95,58.48,74,0,6.96,MX,1612681572
197,Terrace,54.5163,-128.6035,28.4,93,90,9.22,CA,1612681564
198,Pisco,-13.7,-76.2167,71.6,83,100,1.36,PE,1612681474
199,Dalvik,65.9702,-18.5286,33.8,69,90,3.44,IS,1612681515
200,Haines Junction,60.7522,-137.5108,-22.0,76,92,1.32,CA,1612681230
201,Pingzhuang,42.0372,119.2889,18.41,86,0,9.95,CN,1612681586
202,Cockburn Town,21.4612,-71.1419,77.67,78,29,23.67,TC,1612681230
203,Ponta do Sol,32.6667,-17.1,54.0,67,85,3.0,PT,1612681265
204,Turinsk,58.0458,63.696,-1.97,92,100,14.92,RU,1612681586
205,Kapoeta,4.7717,33.5903,83.01,14,0,7.61,SS,1612681586
206,Jamkhed,18.7362,75.3121,80.38,24,0,7.27,IN,1612681587
207,Zhigansk,66.7697,123.3711,-30.69,82,100,16.04,RU,1612681266
208,Mazamari,-11.3258,-74.5308,68.2,79,100,1.68,PE,1612681587
209,Isangel,-19.55,169.2667,86.0,70,75,5.75,VU,1612681196
210,Iqaluit,63.7506,-68.5145,24.8,68,75,3.44,CA,1612681270
211,Porto Belo,-27.1578,-48.5531,64.4,88,0,2.3,BR,1612681587
212,Acapulco de Juárez,16.8634,-99.8901,73.99,80,3,3.94,MX,1612681586
213,Yulara,-25.2406,130.9889,95.0,17,0,11.5,AU,1612681296
214,Half Moon Bay,37.4636,-122.4286,52.0,81,1,1.83,US,1612681588
215,Dabola,10.75,-11.1167,70.54,23,100,2.06,GN,1612681588
216,Luwuk,-0.9516,122.7875,85.35,70,100,1.54,ID,1612681588
217,Bhatkal,13.9667,74.5667,86.38,33,0,5.01,IN,1612681588
218,Alugan,12.2188,125.4808,81.3,85,100,15.28,PH,1612681588
219,Panguna,-6.3164,155.4848,75.65,93,100,1.61,PG,1612681588
220,Kot Samaba,28.5522,70.4684,80.89,15,0,6.73,PK,1612681589
221,São João da Barra,-21.6403,-41.0511,67.26,95,100,7.58,BR,1612681146
222,Patacamaya,-17.2333,-67.9167,46.0,78,98,8.01,BO,1612681589
223,Gore,-46.1028,168.9436,70.14,71,0,3.42,NZ,1612681589
224,Guerrero Negro,27.9769,-114.0611,59.63,67,1,4.74,MX,1612681288
225,Ciudad Guayana,8.3533,-62.6528,73.99,88,100,1.99,VE,1612681589
226,Portland,45.5234,-122.6762,46.0,90,75,3.0,US,1612681262
227,College,64.8569,-147.8028,-4.0,71,90,3.15,US,1612681589
228,Dankov,53.2515,39.1555,-4.85,89,0,12.64,RU,1612681590
229,Atascadero,35.4894,-120.6707,48.99,74,74,4.81,US,1612681590
230,Laï,9.3952,16.2989,72.37,21,0,4.18,TD,1612681511
231,Sierra Vista,31.5545,-110.3037,44.6,36,1,6.91,US,1612681590
232,Mackay,-21.15,149.2,87.8,70,100,16.11,AU,1612681590
233,Teahupoo,-17.8333,-149.2667,75.2,73,75,2.3,PF,1612681590
234,Vilhena,-12.7406,-60.1458,67.77,87,100,1.97,BR,1612681368
235,Fukuechō,32.6881,128.8419,59.0,55,20,9.22,JP,1612681268
236,Mahébourg,-20.4081,57.7,86.0,66,40,12.66,MU,1612681236
237,Arrondissement du Havre,49.5833,0.3333,35.6,93,75,13.8,FR,1612681591
238,Aripuanã,-9.1667,-60.6333,72.45,99,100,2.01,BR,1612681591
239,Rocha,-34.4833,-54.3333,60.58,90,0,2.42,UY,1612681241
240,Biaora,23.8667,76.9167,74.86,20,0,4.63,IN,1612681591
241,Ţahţā,26.7693,31.5021,53.6,76,0,6.91,EG,1612681591
242,Goderich,43.7501,-81.7165,19.4,93,100,16.11,CA,1612681591
243,Carnarvon,-24.8667,113.6333,87.8,100,48,10.36,AU,1612681449
244,Road Town,18.4167,-64.6167,78.01,90,0,5.99,VG,1612681226
245,Pitimbu,-7.4706,-34.8086,75.2,94,20,4.61,BR,1612681301
246,Turangi,-39.0,175.9333,64.62,47,93,1.61,NZ,1612681592
247,Port Elizabeth,-33.918,25.5701,75.2,69,20,17.27,ZA,1612681192
248,Marsaxlokk,35.8419,14.5431,64.0,77,0,11.5,MT,1612681475
249,Mbandaka,0.0487,18.2603,77.4,82,89,3.96,CD,1612681372
250,‘Ewa Beach,21.3156,-158.0072,69.8,68,1,5.75,US,1612681592
251,Vanimo,-2.6741,141.3028,79.7,83,100,7.74,PG,1612681236
252,Krasnosel'kup,65.7,82.4667,-6.5,89,100,16.26,RU,1612681243
253,Vao,-22.6667,167.4833,78.66,81,0,9.06,NC,1612681593
254,Strezhevoy,60.7333,77.5889,32.0,93,90,15.66,RU,1612681478
255,Carauari,-4.8828,-66.8958,74.14,98,100,2.71,BR,1612681499
256,Faya,18.3851,42.4509,55.4,62,0,5.75,SA,1612681593
257,Bitung,1.4451,125.1824,86.0,70,40,8.05,ID,1612681593
258,Brewster,41.3973,-73.6171,26.01,79,1,2.24,US,1612681593
259,Tazmalt,36.3868,4.3989,49.23,68,46,4.74,DZ,1612681593
260,Alofi,-19.0595,-169.9187,80.6,89,100,5.75,NU,1612681497
261,Tuatapere,-46.1333,167.6833,62.01,75,100,3.53,NZ,1612681251
262,Faanui,-16.4833,-151.75,82.62,67,36,8.05,PF,1612681239
263,Margate,51.3813,1.3862,34.0,85,100,10.0,GB,1612681065
264,Saint-François,46.4154,3.9054,43.0,93,90,16.11,FR,1612681594
265,Willowmore,-33.2926,23.4895,70.25,46,0,4.14,ZA,1612681594
266,Petukhovo,55.0692,67.9019,9.48,93,100,25.86,RU,1612681594
267,Llallagua,-18.4167,-66.6333,43.74,81,100,4.05,BO,1612681594
268,Landau,49.2075,8.1133,42.01,95,100,1.99,DE,1612681595
269,Mar del Plata,-38.0023,-57.5575,64.99,82,40,6.91,AR,1612681151
270,La Providencia,28.7167,-111.5833,60.01,44,1,2.37,MX,1612681595
271,Butaritari,3.0707,172.7902,81.5,79,100,19.44,KI,1612681454
272,São Filipe,14.8961,-24.4956,68.68,73,18,14.56,CV,1612681205
273,San Patricio,28.017,-97.5169,60.8,55,1,11.5,US,1612681377
274,Sarai,53.7458,41.0213,-5.13,89,92,13.27,RU,1612681595
275,Port Blair,11.6667,92.75,83.35,66,24,13.11,IN,1612681194
276,Ciudad Sabinas Hidalgo,26.5,-100.1667,55.81,37,0,0.89,MX,1612681595
277,Ribeira Brava,32.65,-17.0667,54.0,85,83,8.99,PT,1612681595
278,Imperial,33.0334,-115.4175,55.99,32,1,3.44,US,1612681596
279,Bredasdorp,-34.5322,20.0403,66.2,88,100,2.3,ZA,1612681234
280,Naze,28.3667,129.4833,68.0,52,20,13.8,JP,1612681294
281,Moosomin,50.1333,-101.6677,-28.68,84,0,8.9,CA,1612681596
282,Yinzhu,35.8786,119.9753,48.2,37,0,13.42,CN,1612681596
283,Mwinilunga,-11.7358,24.4293,63.93,96,100,5.75,ZM,1612681596
284,Provideniya,64.3833,-173.3,-2.78,85,0,9.71,RU,1612681225
285,Abu Dhabi,24.4667,54.3667,71.6,56,0,13.8,AE,1612681170
286,Bow Island,49.8668,-111.3684,-11.2,77,100,5.75,CA,1612681596
287,Sheboygan,43.7333,-87.9334,21.2,59,1,13.8,US,1612681597
288,Nsanje,-16.92,35.262,89.37,62,65,1.99,MW,1612681597
289,Samarai,-10.6167,150.6667,86.58,67,100,6.2,PG,1612681597
290,Eidfjord,60.4675,7.0719,-4.0,76,0,6.51,NO,1612681597
291,Lakatoro,-16.0999,167.4164,82.02,64,2,6.44,VU,1612681597
292,Cururupu,-1.8283,-44.8683,75.22,94,69,3.0,BR,1612681597
293,Singaraja,-8.112,115.0882,84.33,69,81,9.15,ID,1612681404
294,Shingū,33.7333,135.9833,59.0,47,20,19.57,JP,1612681598
295,Eyl,7.9803,49.8164,81.75,58,54,17.07,SO,1612681598
296,Lethem,3.3803,-59.7968,75.7,76,100,13.49,GY,1612681598
297,Sandnessjøen,66.0217,12.6316,23.0,74,90,1.14,NO,1612681598
298,Marabu,4.4148,114.0089,84.2,84,40,5.75,MY,1612681598
299,Namatanai,-3.6667,152.4333,84.2,72,50,7.99,PG,1612681237
300,Hirara,24.8,125.2833,75.2,69,40,9.22,JP,1612681598
301,Jumla,29.2747,82.1838,55.63,31,0,5.37,NP,1612681383
302,Tomatlán,19.9333,-105.25,65.52,93,0,1.52,MX,1612681265
303,Karratha,-20.7377,116.8463,84.65,50,0,14.63,AU,1612681265
304,Haverfordwest,51.8017,-4.9691,39.0,90,79,11.01,GB,1612681599
305,Palestine,31.9216,35.2033,60.01,77,0,3.44,PS,1612681599
306,Berbérati,4.2612,15.7922,79.47,56,0,1.43,CF,1612681599
307,Coihueco,-36.6167,-71.8333,60.8,100,90,4.61,CL,1612681389
308,Caravelas,-17.7125,-39.2481,76.82,87,100,8.23,BR,1612681270
309,Robe,-37.1833,139.75,60.24,73,100,19.08,AU,1612681599
310,Gravdal,68.1214,13.5031,33.49,87,72,13.91,NO,1612681388
311,Barra de Tecoanapa,16.5167,-98.75,72.5,84,0,4.14,MX,1612681465
312,Nanortalik,60.1432,-45.2371,28.89,91,28,1.3,GL,1612681269
313,Labuhan,-6.8844,112.2051,83.8,75,100,20.85,ID,1612681479
314,Nakamura,32.9833,132.9333,58.44,52,0,8.9,JP,1612681600
315,Ambilobe,-13.2,49.05,85.55,66,100,4.07,MG,1612681457
316,Thompson,55.7435,-97.8558,-31.0,61,75,11.5,CA,1612681453
317,Walvis Bay,-22.9575,14.5053,64.0,88,34,9.22,NA,1612681493
318,Shubarshi,48.5872,57.1869,17.47,93,97,9.8,KZ,1612681600
319,Moche,-8.1711,-79.0092,70.86,73,100,5.17,PE,1612681600
320,Khatanga,71.9667,102.5,-31.49,79,0,8.81,RU,1612681195
321,Pringsewu,-5.3582,104.9744,84.06,77,100,4.83,ID,1612681601
322,Kodinsk,58.6881,99.1844,27.86,97,100,7.49,RU,1612681601
323,Zabul Province,32.25,67.25,56.43,34,0,1.92,AF,1612681507
324,Molina,-35.1167,-71.2833,60.8,100,90,2.3,CL,1612681601
325,Río Gallegos,-51.6226,-69.2181,49.91,59,0,6.29,AR,1612681585
326,Ulladulla,-35.35,150.4667,73.4,64,75,12.66,AU,1612681601
327,Clemency,49.5967,5.8758,41.0,96,100,3.0,LU,1612681602
328,Whitehorse,60.7161,-135.0538,-13.0,77,75,2.39,CA,1612681602
329,Asău,46.4333,26.4,28.0,74,97,3.53,RO,1612681246
330,Qaqortoq,60.7167,-46.0333,42.8,33,75,24.16,GL,1612681198
331,Eureka,40.8021,-124.1637,46.99,90,47,5.91,US,1612681254
332,Hay River,60.8156,-115.7999,-36.4,67,14,2.3,CA,1612681447
333,Tual,-5.6667,132.75,84.0,79,100,17.2,ID,1612681602
334,San Vicente,-26.6167,-54.1333,55.71,92,1,3.96,AR,1612681603
335,Province of Trapani,37.8333,12.6667,60.8,41,0,24.16,IT,1612681603
336,Pangai,-19.8,-174.35,77.0,100,90,6.91,TO,1612681599
337,Palestine,31.9216,35.2033,59.0,77,0,3.44,PS,1612681363
338,Cherskiy,68.75,161.3,-6.81,81,0,1.57,RU,1612681240
339,Dunedin,-45.8742,170.5036,62.01,80,1,1.99,NZ,1612681077
340,Trat,12.5,102.5,91.99,70,20,5.75,TH,1612681483
341,Huilong,31.8111,121.655,66.0,39,0,1.99,CN,1612681603
342,Nabire,-3.3667,135.4833,82.15,76,100,2.3,ID,1612681577
343,Chumikan,54.7183,135.315,-3.05,86,100,14.2,RU,1612681508
344,Pokhara,28.2333,83.9833,69.37,26,0,7.11,NP,1612681604
345,Vila Franca do Campo,37.7167,-25.4333,60.01,94,75,19.57,PT,1612681252
346,Bonavista,48.6499,-53.1147,35.01,93,0,11.5,CA,1612681604
347,Chengde,40.9725,117.9361,28.8,56,0,12.53,CN,1612681480
348,Phuket,8.0,98.25,91.4,49,20,11.5,TH,1612681604
349,Champerico,14.3,-91.9167,62.01,95,0,5.79,GT,1612681604
350,Olavarría,-36.8927,-60.3225,63.0,89,0,8.01,AR,1612681604
351,Dhidhdhoo,6.8833,73.1,81.27,73,4,11.95,MV,1612681605
352,Khovd,48.0056,91.6419,19.26,81,0,4.03,MN,1612681561
353,Gorahun,7.4661,-11.2375,70.81,92,80,0.54,SL,1612681605
354,Golovchino,50.5341,35.797,3.2,85,0,11.18,RU,1612681605
355,Sioux Lookout,50.1001,-91.917,-20.2,63,90,13.8,CA,1612681487
356,Oktyabr'skoye,43.0645,44.7417,33.8,86,75,4.47,RU,1612681605
